Tilelink,LinkURL,Desc,Price Num,Details,Address,NeighbCityState
"$44,900
3bd
1ba
816 sqft
1608 Reed",https://www.trulia.com/property/3262300333-1608-Reed-Kalamazoo-MI-49001,,"$44,900 ",3bd; 1ba; 816 sqft,1608 Reed,"Edison, Kalamazoo, MI"
"New
Open House
$124,900
3bd
1ba
920 sqft
1229 Richland Ave",https://www.trulia.com/property/3204130663-1229-Richland-Ave-Kalamazoo-MI-49006,"New
Open House; New
Open House; New
Open House","$124,900 ",3bd; 1ba; 920 sqft,1229 Richland Ave,"Westwood (East), Kalamazoo, MI"
"For Sale By Owner
$214,499
3bd
2ba
2,140 sqft
6676 Cypress Bay Dr",https://www.trulia.com/property/3017893137-6676-Cypress-Bay-Dr-Kalamazoo-MI-49009,For Sale By Owner; For Sale By Owner; For Sale By Owner,"$214,499 ","3bd; 2ba; 2,140 sqft",6676 Cypress Bay Dr,"Kalamazoo, MI"
"Pending
$95,000
3bd
1ba
1,126 sqft
615 Clearview St",https://www.trulia.com/property/29690918-615-Clearview-St-Kalamazoo-MI-49048,Pending; Pending; Pending,"$95,000 ","3bd; 1ba; 1,126 sqft",615 Clearview St,"Eastwood, Kalamazoo, MI"
"$115,000
2bd
1ba
1,980 sqft
6653 E H Ave",https://www.trulia.com/property/3262173466-6653-E-H-Ave-Kalamazoo-MI-49048,,"$115,000 ","2bd; 1ba; 1,980 sqft",6653 E H Ave,"Kalamazoo, MI"
"$250,000
3bd
3ba
1,896 sqft
9394 W M Ave",https://www.trulia.com/property/3262242585-9394-W-M-Ave-Kalamazoo-MI-49009,,"$250,000 ","3bd; 3ba; 1,896 sqft",9394 W M Ave,"Kalamazoo, MI"
"New
$222,000
3bd
2ba
2,176 sqft
6930 Southwind St",https://www.trulia.com/property/3164863789-6930-Southwind-St-Kalamazoo-MI-49009,New; New; New,"$222,000 ","3bd; 2ba; 2,176 sqft",6930 Southwind St,"Kalamazoo, MI"
"New
$159,250
4bd
2ba
1,560 sqft
1307 Coolidge Ave",https://www.trulia.com/property/3165394830-1307-Coolidge-Ave-Kalamazoo-MI-49006,New; New; New,"$159,250 ","4bd; 2ba; 1,560 sqft",1307 Coolidge Ave,"Westwood (East), Kalamazoo, MI"
"$249,900
3bd
2ba
1,732 sqft
5852 S 6th St",https://www.trulia.com/property/3262240299-5852-S-6th-St-Kalamazoo-MI-49009,,"$249,900 ","3bd; 2ba; 1,732 sqft",5852 S 6th St,"Kalamazoo, MI"
"$250,000
3bd
2ba
1,812 sqft
2641 Bluestone Cir",https://www.trulia.com/property/3262155511-2641-Bluestone-Cir-Kalamazoo-MI-49009,,"$250,000 ","3bd; 2ba; 1,812 sqft",2641 Bluestone Cir,"Kalamazoo, MI"
