Address,City,State,ZIP,Desc,Detail,Price Num,Num Photos Text,Num Photos,Photo URL,Pg Number
1374 Highland Hills Dr # 78,Kalamazoo,MI,49007,Home For Sale,"$9,9992 bds · 1 ba · 672 sqft; 120 days on Zillow·1374 Highland Hills Dr # 78, Kalamazoo, MI",99992,4 photos,4,https://photos.zillowstatic.com/p_e/ISal6sphd2ql740000000000.jpg,5
529 Ada St,Kalamazoo,MI,49007,House For Sale,"$19,9004 bds · 1 ba · 1,010 sqft; 166 days on Zillow·529 Ada St, Kalamazoo, MI; O'Brien Real Estate",199004,4 photos,4,https://photos.zillowstatic.com/p_e/ISe0hlgxcxksdt1000000000.jpg,5
1517 N Westnedge Ave,Kalamazoo,MI,49007,House For Sale,"$15,9003 bds · 1 ba · 1,274 sqft; $2,000 (Apr 10)·1517 N Westnedge Ave, Kalamazoo, MI",159003; 2000,18 photos,18,https://photos.zillowstatic.com/p_e/IS56sbujdh66rh1000000000.jpg,5
N Westnedge Ave,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),Foreclosure Est. $36K · -- bds · -- ba · -- sqft; 361 days on Zillow·Sign in for details,36,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.307000,-85.590000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
1109 Jenks Blvd,Kalamazoo,MI,49006,House For Sale,"$79,9004 bds · 2 ba · 1,622 sqft; $10,000 (Feb 28)·1109 Jenks Blvd, Kalamazoo, MI",799004; 10000,19 photos,19,https://photos.zillowstatic.com/p_e/IS62tlbfbppz270000000000.jpg,5
739 Whites Rd,Kalamazoo,MI,49008,House For Sale,"$79,9003 bds · 2 ba · 1,394 sqft; 52 days on Zillow·739 Whites Rd, Kalamazoo, MI; Chuck Jaqua, REALTOR, Inc.",799003,1 photo,1,https://photos.zillowstatic.com/p_e/ISucxyslhuajku0000000000.jpg,5
Lynn Ave UNIT 10,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 46 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.256000,-85.591000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
426 Buchanan Ave,Kalamazoo,MI,49001,House For Sale,"$89,9004 bds · 2 ba · 1,609 sqft; 203 days on Zillow·426 Buchanan Ave, Kalamazoo, MI",899004,8 photos,8,https://photos.zillowstatic.com/p_e/ISec6dsg4q0qd31000000000.jpg,5
2631 Kalanco St,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $88K · 3 bds · 1 ba · -- sqft; 78 days on Zillow·2631 Kalanco St, Kalamazoo, MI",88,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.265000,-85.581000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
1028 N Park St,KALAMAZOO,MI,49007,For Sale by Owner,"$2,5004,792 sqft lot; $400 (Feb 19)·1028 N Park St, Kalamazoo, MI",25004792; 400,4 photos,4,https://photos.zillowstatic.com/p_e/ISinxolmv61ap11000000000.jpg,5
